idx_archive,idx_evaluation,idx_generation_birth,idx_generation
1175,1008,10,11
1176,355,3,11
1177,968,9,11
1178,193,1,11
1179,1073,10,11
1180,1038,10,11
1181,1080,10,11
1182,1105,11,11
1183,868,8,11
1184,85,0,11
1185,1059,10,11
1186,933,9,11
1187,897,8,11
1188,841,8,11
1189,206,2,11
1190,435,4,11
1191,1199,11,11
1192,1088,10,11
1193,368,3,11
1194,330,3,11
1195,851,8,11
1196,872,8,11
1197,982,9,11
1198,1182,11,11
1199,835,8,11
1200,1230,12,12
1201,1184,11,12
1202,1130,11,12
1203,1256,12,12
1204,979,9,12
1205,404,4,12
1206,1018,10,12
1207,1056,10,12
1208,803,8,12
1209,659,6,12
1210,1084,10,12
1211,1268,12,12
1212,987,9,12
1213,1264,12,12
1214,229,2,12
1215,1233,12,12
1216,984,9,12
1217,1294,12,12
1218,1239,12,12
1219,1161,11,12
1220,215,2,12
1221,1247,12,12
1222,734,7,12
1223,400,4,12
1224,155,1,12
1225,484,4,12
1226,861,8,12
1227,1098,10,12
1228,1205,12,12
1229,495,4,12
1230,616,6,12
1231,886,8,12
1232,953,9,12
1233,284,2,12
1234,1274,12,12
1235,1226,12,12
1236,894,8,12
1237,506,5,12
1238,1210,12,12
1239,1231,12,12
1240,855,8,12
1241,651,6,12
1242,1060,10,12
1243,1101,11,12
1244,590,5,12
1245,1178,11,12
1246,646,6,12
1247,45,0,12
1248,521,5,12
1249,542,5,12
1250,1111,11,12
1251,1250,12,12
1252,459,4,12
1253,986,9,12
1254,411,4,12
1255,767,7,12
1256,222,2,12
1257,754,7,12
1258,945,9,12
1259,552,5,12
1260,578,5,12
1261,980,9,12
1262,1278,12,12
1263,28,0,12
1264,1202,12,12
1265,1255,12,12
1266,1167,11,12
1267,517,5,12
1268,1124,11,12
1269,589,5,12
1270,331,3,12
1271,850,8,12
1272,1027,10,12
1273,725,7,12
1274,808,8,12
1275,611,6,12
1276,963,9,12
1277,846,8,12
1278,847,8,12
1279,1209,12,12
1280,610,6,12
1281,724,7,12
1282,934,9,12
1283,968,9,12
1284,193,1,12
1285,1073,10,12
1286,841,8,12
1287,1155,11,12
1288,868,8,12
1289,1080,10,12
1290,1105,11,12
1291,1270,12,12
1292,1059,10,12
1293,642,6,12
1294,391,3,12
1295,330,3,12
1296,540,5,12
1297,1189,11,12
1298,206,2,12
1299,435,4,12
1300,1230,12,13
1301,1184,11,13
1302,1130,11,13
1303,1256,12,13
1304,979,9,13
1305,404,4,13
1306,1315,13,13
1307,1018,10,13
1308,1084,10,13
1309,1294,12,13
1310,1268,12,13
1311,1056,10,13
1312,1233,12,13
1313,1264,12,13
1314,1307,13,13
1315,229,2,13
1316,984,9,13
1317,659,6,13
1318,1239,12,13
1319,1161,11,13
1320,215,2,13
1321,1247,12,13
1322,734,7,13
1323,400,4,13
1324,155,1,13
1325,484,4,13
1326,861,8,13
1327,1322,13,13
1328,1378,13,13
1329,1205,12,13
1330,1274,12,13
1331,1366,13,13
1332,495,4,13
1333,987,9,13
1334,506,5,13
1335,894,8,13
1336,1210,12,13
1337,1231,12,13
1338,855,8,13
1339,953,9,13
1340,1098,10,13
1341,651,6,13
1342,1060,10,13
1343,1317,13,13
1344,590,5,13
1345,803,8,13
1346,1323,13,13
1347,945,9,13
1348,886,8,13
1349,986,9,13
1350,1250,12,13
1351,284,2,13
1352,767,7,13
1353,1340,13,13
1354,45,0,13
1355,552,5,13
1356,578,5,13
1357,521,5,13
1358,1101,11,13
1359,754,7,13
1360,1111,11,13
1361,517,5,13
1362,1226,12,13
1363,1375,13,13
1364,646,6,13
1365,616,6,13
1366,589,5,13
1367,1386,13,13
1368,1178,11,13
1369,1027,10,13
1370,459,4,13
1371,963,9,13
1372,1124,11,13
1373,846,8,13
1374,1255,12,13
1375,1209,12,13
1376,1326,13,13
1377,193,1,13
1378,1073,10,13
1379,1189,11,13
1380,1059,10,13
1381,1167,11,13
1382,1105,11,13
1383,542,5,13
1384,1270,12,13
1385,868,8,13
1386,1202,12,13
1387,330,3,13
1388,411,4,13
1389,331,3,13
1390,1278,12,13
1391,1329,13,13
1392,1327,13,13
1393,850,8,13
1394,28,0,13
1395,808,8,13
1396,1372,13,13
1397,222,2,13
1398,847,8,13
1399,724,7,13
1400,1230,12,14
1401,1184,11,14
1402,1130,11,14
1403,1256,12,14
1404,979,9,14
1405,404,4,14
1406,1315,13,14
1407,1018,10,14
1408,1056,10,14
1409,1084,10,14
1410,1294,12,14
1411,1268,12,14
1412,1233,12,14
1413,1264,12,14
1414,1474,14,14
1415,229,2,14
1416,984,9,14
1417,659,6,14
1418,1239,12,14
1419,1161,11,14
1420,215,2,14
1421,1247,12,14
1422,734,7,14
1423,400,4,14
1424,155,1,14
1425,484,4,14
1426,861,8,14
1427,1322,13,14
1428,1307,13,14
1429,1274,12,14
1430,1205,12,14
1431,1366,13,14
1432,495,4,14
1433,987,9,14
1434,506,5,14
1435,894,8,14
1436,1210,12,14
1437,1231,12,14
1438,855,8,14
1439,1378,13,14
1440,651,6,14
1441,953,9,14
1442,1317,13,14
1443,590,5,14
1444,1410,14,14
1445,1323,13,14
1446,945,9,14
1447,886,8,14
1448,986,9,14
1449,1250,12,14
1450,284,2,14
1451,1468,14,14
1452,767,7,14
1453,1060,10,14
1454,803,8,14
1455,1340,13,14
1456,45,0,14
1457,552,5,14
1458,578,5,14
1459,1101,11,14
1460,521,5,14
1461,1098,10,14
1462,1111,11,14
1463,754,7,14
1464,1375,13,14
1465,1226,12,14
1466,1471,14,14
1467,589,5,14
1468,1386,13,14
1469,517,5,14
1470,1178,11,14
1471,1027,10,14
1472,1124,11,14
1473,963,9,14
1474,616,6,14
1475,846,8,14
1476,1255,12,14
1477,1209,12,14
1478,1495,14,14
1479,1326,13,14
1480,193,1,14
1481,1073,10,14
1482,1189,11,14
1483,1105,11,14
1484,542,5,14
1485,1270,12,14
1486,868,8,14
1487,1202,12,14
1488,1059,10,14
1489,646,6,14
1490,330,3,14
1491,411,4,14
1492,1278,12,14
1493,1443,14,14
1494,1327,13,14
1495,331,3,14
1496,1329,13,14
1497,459,4,14
1498,28,0,14
1499,850,8,14
1500,1230,12,15
1501,1184,11,15
1502,1130,11,15
1503,1256,12,15
1504,979,9,15
1505,1315,13,15
1506,1505,15,15
1507,1056,10,15
1508,1084,10,15
1509,1268,12,15
1510,1294,12,15
1511,1233,12,15
1512,404,4,15
1513,1598,15,15
1514,1018,10,15
1515,1474,14,15
1516,229,2,15
1517,984,9,15
1518,659,6,15
1519,1239,12,15
1520,1161,11,15
1521,215,2,15
1522,1508,15,15
1523,1247,12,15
1524,734,7,15
1525,484,4,15
1526,861,8,15
1527,400,4,15
1528,1307,13,15
1529,1322,13,15
1530,1274,12,15
1531,1205,12,15
1532,1366,13,15
1533,1516,15,15
1534,1264,12,15
1535,1562,15,15
1536,987,9,15
1537,155,1,15
1538,1210,12,15
1539,953,9,15
1540,1378,13,15
1541,1532,15,15
1542,651,6,15
1543,886,8,15
1544,1250,12,15
1545,1323,13,15
1546,590,5,15
1547,945,9,15
1548,986,9,15
1549,1468,14,15
1550,284,2,15
1551,495,4,15
1552,767,7,15
1553,1060,10,15
1554,803,8,15
1555,1340,13,15
1556,506,5,15
1557,894,8,15
1558,45,0,15
1559,1231,12,15
1560,552,5,15
1561,855,8,15
1562,578,5,15
1563,1101,11,15
1564,1317,13,15
1565,1098,10,15
1566,521,5,15
1567,1111,11,15
1568,1226,12,15
1569,1375,13,15
1570,754,7,15
1571,1386,13,15
1572,517,5,15
1573,1178,11,15
1574,1410,14,15
1575,1535,15,15
1576,1588,15,15
1577,1124,11,15
1578,846,8,15
1579,1255,12,15
1580,616,6,15
1581,1557,15,15
1582,1209,12,15
1583,963,9,15
1584,1495,14,15
1585,1326,13,15
1586,193,1,15
1587,1073,10,15
